ID,year,accept.reject,region.ISO3,sys1,habitat,sys2,group,sub.group,animal.group,Total.Number.Species,multivar.FD.Measure,total.number.traits
625,2014,accept,CHE,T,AGRI,"13, 7","animal, plant","invertebrates, vertebrates, trees, shrubs, graminoids, forbs",NA,574,FDis,15
626,2014,accept,DEU,T,TEMP,7,plant,"trees, shrubs, graminoids, forbs",NA,8,FD,8
627,2014,accept,DEU,T,TEMP,7,animal,invertebrates,arthropods,122,Rao,4
631,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
633,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
634,2014,accept,CHN,T,TROP,11,plant,trees,NA,57,"FDis, FEve, FRic",7
635,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
636,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
637,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
639,2014,AWCD,ESP,,,,,,,,,
640,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
641,2014,accept,BRA,T,TROP,11,animal,invertebrates,arthropods,530,"FEve, FDiv, FRic, FDp, MPD, M-NND",9
645,2014,accept,BRA,T,TROP,11,animal,vertebrates,"mammals, birds",2096,MPD,10
648,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
650,2014,accept,USA,T,TEMP,10,plant,"trees, shrubs, graminoids, forbs",NA,169,"M-NND, Rao",11
651,2014,accept,FRA,T,GRAS,4,plant,"shrubs, forbs, graminoids",NA,291,"FRic, FDc",6
653,2014,accept,USA,T,TUND,22,plant,"graminoids, forbs",NA,107,"sesFRic, sesFDis",5
654,2014,accept,USA,T,TEMP,10,plant,trees,NA,34,NA,2
655,2014,accept,USA,T,TEMP,10,plant,"graminoids, forbs",NA,248,"FEve, FDis, FRic",4
658,2014,AWCD,"ITA, POL, SWE, DEU, ROU",T,OTHR,31,microbes,microbemix,NA,NA,NA,8
660,2014,pancake,CHN,T,TROP,11,animal,invertebrates,arthropods,71,NA,1
661,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
663,2014,reject,DEU,T,GRAS,7,animal,invertebrates,arthropods,74,NA,NA
664,2014,accept,AUS,A,LAKE,1,animal,vertebrates,fish,194,"FDis, FEve",10
668,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
670,2014,pancake,ESP,T,TEMP,8,plant,NA,NA,91,NA,1
671,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
673,2014,reject,CHN,T,TROP,24,microbes,microbemix,NA,NA,NA,6
675,2014,pancake,BEL,A,PELA,6,microbes,diatoms,NA,NA,NA,4
678,2014,accept,DEU,T,TEMP,10,animal,invertebrates,arthropods,179,sesMPD,4
679,2014,AWCD,AUS,A,LAKE,2,microbes,microbemix,NA,NA,NA,5
681,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
685,2014,accept,CHE,T,AGRI,13,plant,"graminoids, forbs, shrubs",NA,52,"FRic, FDiv, Rao",10
689,2014,accept,BEL,T,AGRI,13,plant,"graminoids, forbs",NA,299,"sesFD, sesFEve, sesFDiv",26
690,2014,accept,PRT,A,LAKE,1,animal,invertebrates,NA,27,Rao,5
692,2014,pancake,COD,T,TROP,11,plant,NA,NA,10,NA,4
695,2014,pancake,MEX,A,PELA,16,microbes,microbemix,NA,NA,NA,2
697,2014,accept,NA,A,LAKE,2,animal,vertebrates,fish,286,Fbeta,6
698,2014,pancake,NZL,T,TEMP,10,microbes,microbemix,NA,NA,NA,7
700,2014,accept,CHN,T,TEMP,7,plant,"graminoids, forbs",NA,8,Rao,1
703,2014,AWCD,NZL,T,TEMP,8,microbes,microbemix,NA,NA,NA,2
704,2014,accept,NZL,T,OTHR,31,microbes,microbemix,NA,NA,NA,1
707,2014,accept,PNG,T,TROP,11,plant,trees,NA,90,"FDiv, FEve, FRic",5
708,2014,accept,PRT,T,TEMP,10,animal,invertebrates,arthropods,648,"FRic, sesFbeta",10
710,2014,reject,USA,T,TEMP,10,plant,NA,NA,98,NA,3
711,2014,pancake,ARG,A,LAKE,2,animal,invertebrates,arthropods,32,NA,3
725,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
730,2014,accept,CHN,T,TROP,11,microbes,microbemix,NA,NA,NA,13
736,2014,accept,PRT,A,PELA,6,animal,invertebrates,nematodes,251,NA,1
739,2014,accept,CHN,T,TEMP,27,plant,"trees, shrubs, graminoids, forbs",NA,171,"FAD2, MFAD, FDp, FDc, FDiv, FDis",10
740,2014,reject,CHN,T,OTHR,31,microbes,microbemix,NA,NA,NA,NA
741,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
743,2014,accept,CHN,T,AGRI,13,microbes,microbemix,NA,NA,NA,3
746,2014,AWCD,CHN,A,NEAR,5,microbes,microbemix,NA,NA,NA,1
747,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
749,2014,accept,CHN,T,GRAS,7,plant,"graminoids, forbs",NA,8,FD,5
