ID,AUTHORS,PUBLICATION.YEAR,TraitNum,Trait.Name,Trait.Category.New,Trait.Source,Trait.Source.Info,Trait.Rationale,Rationale.Description,Notes,NOT A TRAIT?,
53,"Chanteloup, P; Bonis, A",2013,53.09,root depth,habitat,1,NA,general,"selected five above-ground traits and four below- ground traits in order to take into account as many traits as possible representing the leaf economics spectrum (Wright et al. 2004), plant size axis (Westoby, Falster, Moles, Vesk, & Wright 2002) as well as below-ground strategy (Roumet, Urcelay, & DÌ_az 2006).",,,
55,"Chillo, V; Anand, M; Ojeda, RA",2011,55.09,trend in abundance,body size,1,NA,general,"Response traits related to grazing tolerance, with low or no intraspecific variation (Cornelissen and others 2003; Diaz and others 2007)",,,
55,"Chillo, V; Anand, M; Ojeda, RA",2011,55.13,palatability,defense,"2,3",Not reported,general,"Response traits related to grazing tolerance, with low or no intraspecific variation (Cornelissen and others 2003; Diaz and others 2007)",,,
55,"Chillo, V; Anand, M; Ojeda, RA",2011,55.14,thorniness,defense,"2,3",Not reported,general,"Response traits related to grazing tolerance, with low or no intraspecific variation (Cornelissen and others 2003; Diaz and others 2007)",,,
55,"Chillo, V; Anand, M; Ojeda, RA",2011,55.15,dispersal syndrome,dispersal,"2,3",Not reported,general,"Response traits related to grazing tolerance, with low or no intraspecific variation (Cornelissen and others 2003; Diaz and others 2007)",,,
55,"Chillo, V; Anand, M; Ojeda, RA",2011,55.08,leaf texture,environmental tolerance,"2,3",Not reported,general,"Effect trait related to primary production, litter formation, nutrient cycling, and soil retention",,,
55,"Chillo, V; Anand, M; Ojeda, RA",2011,55.01,growth form,growth allocation,"2,3",Not reported,general,"Effect trait related to primary production, litter formation, nutrient cycling, and soil retention",,,
55,"Chillo, V; Anand, M; Ojeda, RA",2011,55.04,leaf length,growth allocation,"2,3",Not reported,general,"Effect trait related to primary production, litter formation, nutrient cycling, and soil retention",,,
55,"Chillo, V; Anand, M; Ojeda, RA",2011,55.06,lateral spread,growth allocation,"2,3",Not reported,specific,"Provides different vertical structure and soil cover, influencing primary production, soil, and litter retention.",,,
55,"Chillo, V; Anand, M; Ojeda, RA",2011,55.07,storage organs,growth allocation,"2,3",Not reported,general,"Effect trait related to primary production, litter formation, nutrient cycling, and soil retention",,,
55,"Chillo, V; Anand, M; Ojeda, RA",2011,55.11,Raunkier life form,growth allocation,"2,3",Not reported,general,"Response traits related to grazing tolerance, with low or no intraspecific variation (Cornelissen and others 2003; Diaz and others 2007)",,,
55,"Chillo, V; Anand, M; Ojeda, RA",2011,55.1,along grazing gradient,habitat,"2,3",Not reported,general,"Response traits related to grazing tolerance, with low or no intraspecific variation (Cornelissen and others 2003; Diaz and others 2007)",,,
55,"Chillo, V; Anand, M; Ojeda, RA",2011,55.02,life cycle,longevity,"2,3",Not reported,specific,"Influences litter formation and nutrient cyclingby the speed at which dead matter enters the system, also provides different vertical structure and soil cover, influencing primary production, soil, and litter retention.",,,
55,"Chillo, V; Anand, M; Ojeda, RA",2011,55.12,vegetative reproduction,reproduction,"2,3",Not reported,general,"Response traits related to grazing tolerance, with low or no intraspecific variation (Cornelissen and others 2003; Diaz and others 2007)",,,
55,"Chillo, V; Anand, M; Ojeda, RA",2011,55.03,N fixation,resource use,"2,3",Not reported,general,"Effect trait related to primary production, litter formation, nutrient cycling, and soil retention",,,
55,"Chillo, V; Anand, M; Ojeda, RA",2011,55.05,root type,resource use,"2,3",Not reported,specific,Influence soil retention and nutrient cycling (Cornelissen and others 2003),,,
56,"Chu, Y; He, WM; Liu, HD; Liu, J; Zhu, XW; Dong, M",2006,56.04,growth form,growth allocation,3,"Flora of Inner Mongolia (The Editorial Committee of Flora of Inner Mongolian, 1989‰ÛÒ1998)",none,NA,,,
56,"Chu, Y; He, WM; Liu, HD; Liu, J; Zhu, XW; Dong, M",2006,56.01,life cycle duration,longevity,3,"Flora of Inner Mongolia (The Editorial Committee of Flora of Inner Mongolian, 1989‰ÛÒ1998)",none,NA,,,
56,"Chu, Y; He, WM; Liu, HD; Liu, J; Zhu, XW; Dong, M",2006,56.02,photosynthetic pathway,metabolism,3,"Yin and Li, 1997; Yin and Wang, 1997; Tang, 1999; Wang, 2002; Niu et al., 2003; Liu et al., 2004",none,NA,,,
56,"Chu, Y; He, WM; Liu, HD; Liu, J; Zhu, XW; Dong, M",2006,56.03,reproduction mode,reproduction,3,"Flora of Inner Mongolia (The Editorial Committee of Flora of Inner Mongolian, 1989‰ÛÒ1998)",none,NA,,,
57,"Cianciaruso, MV; Batalha, MA; Gaston, KJ; Petchey, OL",2009,57.01,height,body size,1,NA,general,easy and the paper was meant to be illustrative,,,
57,"Cianciaruso, MV; Batalha, MA; Gaston, KJ; Petchey, OL",2009,57.03,basal area,body size,1,NA,general,easy and the paper was meant to be illustrative,,,
57,"Cianciaruso, MV; Batalha, MA; Gaston, KJ; Petchey, OL",2009,57.02,bark thickness,defense,1,NA,general,easy and the paper was meant to be illustrative,,,
60,"Colzani, E; Siqueira, T; Suriano, MT; Roque, FO",2013,60.04,body size,body size,2,"Vieira et al., 2006; Poff et al., 2006; Tomanova et al., 2006; Tomanova and Usseglio-Polatera, 2007; Merritt et al., 2008",general,primary traits for taxa,,,
60,"Colzani, E; Siqueira, T; Suriano, MT; Roque, FO",2013,60.01,refuge building,defense,2,"Vieira et al., 2006; Poff et al., 2006; Tomanova et al., 2006; Tomanova and Usseglio-Polatera, 2007; Merritt et al., 2008",general,primary traits for taxa,,,
60,"Colzani, E; Siqueira, T; Suriano, MT; Roque, FO",2013,60.02,external protection,defense,2,"Vieira et al., 2006; Poff et al., 2006; Tomanova et al., 2006; Tomanova and Usseglio-Polatera, 2007; Merritt et al., 2008",general,primary traits for taxa,,,
60,"Colzani, E; Siqueira, T; Suriano, MT; Roque, FO",2013,60.07,habit,growth allocation,2,"Vieira et al., 2006; Poff et al., 2006; Tomanova et al., 2006; Tomanova and Usseglio-Polatera, 2007; Merritt et al., 2008",general,primary traits for taxa,,,
60,"Colzani, E; Siqueira, T; Suriano, MT; Roque, FO",2013,60.06,rheophily,habitat,2,"Vieira et al., 2006; Poff et al., 2006; Tomanova et al., 2006; Tomanova and Usseglio-Polatera, 2007; Merritt et al., 2008",general,primary traits for taxa,Preference for fast moving water,,
60,"Colzani, E; Siqueira, T; Suriano, MT; Roque, FO",2013,60.05,body shape,locomotion,2,"Vieira et al., 2006; Poff et al., 2006; Tomanova et al., 2006; Tomanova and Usseglio-Polatera, 2007; Merritt et al., 2008",general,primary traits for taxa,,,
60,"Colzani, E; Siqueira, T; Suriano, MT; Roque, FO",2013,60.03,respiration,metabolism,2,"Vieira et al., 2006; Poff et al., 2006; Tomanova et al., 2006; Tomanova and Usseglio-Polatera, 2007; Merritt et al., 2008",general,primary traits for taxa,,,
60,"Colzani, E; Siqueira, T; Suriano, MT; Roque, FO",2013,60.08,trophic group,resource use,2,"Vieira et al., 2006; Poff et al., 2006; Tomanova et al., 2006; Tomanova and Usseglio-Polatera, 2007; Merritt et al., 2008",general,primary traits for taxa,,,
61,"Concostrina-Zubiri, L; Pescador, DS; Martinez, I; Escudero, A",2014,61.03,chemistry,defense,4,NA,general,multinomial traits reflecting key functional roles performed by BSC in drylands,,,
61,"Concostrina-Zubiri, L; Pescador, DS; Martinez, I; Escudero, A",2014,61.05,reflectance,environmental tolerance,4,NA,general,multinomial traits reflecting key functional roles performed by BSC in drylands,,,
61,"Concostrina-Zubiri, L; Pescador, DS; Martinez, I; Escudero, A",2014,61.04,attachment stuctures,habitat,4,NA,general,multinomial traits reflecting key functional roles performed by BSC in drylands,,,
62,"Conti, G; Diaz, S",2013,62.05,height,body size,1,NA,general,relates to ecosystems processes of carbon dynamics and storage,,,
62,"Conti, G; Diaz, S",2013,62.01,leaf dry matter content,growth allocation,1,NA,general,relates to ecosystems processes of carbon dynamics and storage,,,
62,"Conti, G; Diaz, S",2013,62.02,leaf N content,growth allocation,1,NA,general,relates to ecosystems processes of carbon dynamics and storage,,,
62,"Conti, G; Diaz, S",2013,62.03,leaf toughness,growth allocation,1,NA,general,relates to ecosystems processes of carbon dynamics and storage,,,
62,"Conti, G; Diaz, S",2013,62.04,specific leaf area,growth allocation,1,NA,general,relates to ecosystems processes of carbon dynamics and storage,,,
62,"Conti, G; Diaz, S",2013,62.06,wood specific gravity,growth allocation,1,NA,general,relates to ecosystems processes of carbon dynamics and storage,,,
63,"Cornwell, WK; Schwilk, DW; Ackerly, DD",2006,63.01,wood density,growth allocation,1,NA,specific,Wood density has been shown to correlate with resistance to embolism (Hacke et al. 2001) and to be part of a suite of traits related to water relations and minimum seasonal water potential (Ackerly 2004).,,,
63,"Cornwell, WK; Schwilk, DW; Ackerly, DD",2006,63.02,specific leaf area,growth allocation,1,NA,specific,"Specific leaf area (SLA) is part of a suite of traits associated with leaf life span and the ‰Û÷‰Û÷leaf economics‰Ûª‰Ûª spectrum of fast-to-slow resource capture (Reich et al. 1999, Wright et al. 2004)",,,
63,"Cornwell, WK; Schwilk, DW; Ackerly, DD",2006,63.03,leaf area,growth allocation,1,NA,specific,Leaf area is related to energy balance of leaves (Givnish 1987) and to a suite of morphological traits known as Corner‰Ûªs rules (Ackerly and Donoghue 1998).,,,
63,"Cornwell, WK; Schwilk, DW; Ackerly, DD",2006,63.04,seed mass,reproduction,"1,3",More than 3,specific,Seed mass is a crucial feature of dispersal and regeneration ecology (Coomes and Grubb 2003).,,,
64,"COWLING, RM; ESLER, KJ; MIDGLEY, GF; HONIG, MA",1994,64.01,growth form,growth allocation,1,NA,general,represents different functional types,,,
66,"Dalerum, F",2013,66.02,home range size,biogeography,3,"Werdelin, 1996",general,traits relate to predation effects and area use,,,
66,"Dalerum, F",2013,66.03,density,biogeography,3,"Werdelin, 1996",general,traits relate to predation effects and area use,,,
66,"Dalerum, F",2013,66.12,geographic range size,biogeography,3,"Werdelin, 1996",general,traits relate to predation effects and area use,,,
66,"Dalerum, F",2013,66.13,proportional range size,biogeography,3,"Werdelin, 1996",general,traits relate to predation effects and area use,,,
66,"Dalerum, F",2013,66.09,body weight,body size,3,"Werdelin, 1996",general,traits relate to predation effects and area use,,,
66,"Dalerum, F",2013,66.1,sexual dimorphism,reproduction,3,"Werdelin, 1996",general,traits relate to predation effects and area use,,,
66,"Dalerum, F",2013,66.11,male:female ratio,reproduction,3,"Werdelin, 1996",general,traits relate to predation effects and area use,,,
66,"Dalerum, F",2013,66.01,functional group prey strategy,resource use,3,"Werdelin, 1996",general,traits relate to predation effects and area use,,,
66,"Dalerum, F",2013,66.04,diet,resource use,3,"Werdelin, 1996",general,traits relate to predation effects and area use,,,
66,"Dalerum, F",2013,66.05,prey size,resource use,3,"Werdelin, 1996",general,traits relate to predation effects and area use,,,
66,"Dalerum, F",2013,66.06,max prey size,resource use,3,"Werdelin, 1996",general,traits relate to predation effects and area use,,,
66,"Dalerum, F",2013,66.07,min prey size,resource use,3,"Werdelin, 1996",general,traits relate to predation effects and area use,,,
66,"Dalerum, F",2013,66.08,hunting group size,resource use,3,"Werdelin, 1996",general,traits relate to predation effects and area use,,,
68,"D'Astous, A; Poulin, M; Aubin, I; Rochefort, L",2013,68.07,invasive status,biogeography,2,http://topic.nrcan.gc.ca/,specific,"Related to optimum species distribution along environmental gradients (i.e. ecological performance; sensu Violle et al., 2007)",,,
68,"D'Astous, A; Poulin, M; Aubin, I; Rochefort, L",2013,68.05,acidity tolerance,environmental tolerance,2,http://topic.nrcan.gc.ca/,specific,"Related to optimum species distribution along environmental gradients (i.e. ecological performance; sensu Violle et al., 2007)",,,
68,"D'Astous, A; Poulin, M; Aubin, I; Rochefort, L",2013,68.06,habitat,habitat,2,http://topic.nrcan.gc.ca/,specific,"Related to optimum species distribution along environmental gradients (i.e. ecological performance; sensu Violle et al., 2007)",,,
68,"D'Astous, A; Poulin, M; Aubin, I; Rochefort, L",2013,68.08,water preference,habitat,2,http://topic.nrcan.gc.ca/,specific,"Related to optimum species distribution along environmental gradients (i.e. ecological performance; sensu Violle et al., 2007)",,,
68,"D'Astous, A; Poulin, M; Aubin, I; Rochefort, L",2013,68.03,reproduction mode,reproduction,2,http://topic.nrcan.gc.ca/,specific,Associated to either plant survival or reproductive success,,,
68,"D'Astous, A; Poulin, M; Aubin, I; Rochefort, L",2013,68.04,seed size,reproduction,2,http://topic.nrcan.gc.ca/,specific,Associated to either plant survival or reproductive success,,,
68,"D'Astous, A; Poulin, M; Aubin, I; Rochefort, L",2013,68.01,carnivorous nutritional adaptations,resource use,2,http://topic.nrcan.gc.ca/,specific,Associated to either plant survival or reproductive success,,,
68,"D'Astous, A; Poulin, M; Aubin, I; Rochefort, L",2013,68.02,mycorrhizal,resource use,2,http://topic.nrcan.gc.ca/,specific,Associated to either plant survival or reproductive success,,,
69,"Davies, RG; Eggleton, P; Jones, DT; Gathorne-Hardy, FJ; Hernandez, LM",2003,69.03,body size,body size,1,NA,specific,"subdivided into three categories: reproductives, soldiers, and workers",,,
69,"Davies, RG; Eggleton, P; Jones, DT; Gathorne-Hardy, FJ; Hernandez, LM",2003,69.02,functional taxanomic group,growth allocation,1,NA,specific,morespecified grouping among the feeding groups,,,
69,"Davies, RG; Eggleton, P; Jones, DT; Gathorne-Hardy, FJ; Hernandez, LM",2003,69.01,feeding group,resource use,1,NA,specific,position of their food subtrates alog with humidification gradient of organic matter decomposition,,,
72,"de Bello, F; Buchmann, N; Casals, P; Leps, J; Sebastia, MT",2009,72.02,height,body size,"2,3",More than 3 see deBello et al. 2005,none,NA,,,
72,"de Bello, F; Buchmann, N; Casals, P; Leps, J; Sebastia, MT",2009,72.06,thorniness,defense,"2,3",More than 3 see deBello et al. 2005,none,NA,,,
72,"de Bello, F; Buchmann, N; Casals, P; Leps, J; Sebastia, MT",2009,72.03,leaf size,growth allocation,"2,3",More than 3 see deBello et al. 2005,none,NA,,,
72,"de Bello, F; Buchmann, N; Casals, P; Leps, J; Sebastia, MT",2009,72.05,lateral spread,growth allocation,"2,3",More than 3 see deBello et al. 2005,none,NA,,,
72,"de Bello, F; Buchmann, N; Casals, P; Leps, J; Sebastia, MT",2009,72.07,growth form,growth allocation,"2,3",More than 3 see deBello et al. 2005,none,NA,,,
72,"de Bello, F; Buchmann, N; Casals, P; Leps, J; Sebastia, MT",2009,72.09,leaf distribution,growth allocation,"2,3",More than 3 see deBello et al. 2005,none,NA,,,
72,"de Bello, F; Buchmann, N; Casals, P; Leps, J; Sebastia, MT",2009,72.01,life cycle,longevity,"2,3",More than 3 see deBello et al. 2005,none,NA,,,
72,"de Bello, F; Buchmann, N; Casals, P; Leps, J; Sebastia, MT",2009,72.08,flowering time,reproduction,"2,3",More than 3 see deBello et al. 2005,none,NA,,,
72,"de Bello, F; Buchmann, N; Casals, P; Leps, J; Sebastia, MT",2009,72.04,N fixation,resource use,"2,3",More than 3 see deBello et al. 2005,none,NA,,,
73,"de Bello, F; Thuiller, W; Leps, J; Choler, P; Clement, JC; Macek, P; Sebastia, MT; Lavorel, S",2009,72.1,specific leaf area,growth allocation,1,NA,specific,"This trait is of particular relevance because it mirrors a fundamental axis of differentiation among species (D€±az et al. 2004), from more ‰Û÷‰Û÷acquisitive‰Ûª‰Ûª (higher SLA, rapid acquisition of resources) to more ‰Û÷‰Û÷conservative‰Ûª‰Ûª (lower SLA, conservation of resources within protected tissues) strategies.",,,
74,"Derry, AM; Staddon, WJ; Kevan, PG; Trevors, JT",1999,74.01,carbon source utilization,resource use,1,NA,general,it also provides data to assess similarities and diåÛferences between microbial communities,,,
75,"Devictor, V; Mouillot, D; Meynard, C; Jiguet, F; Thuiller, W; Mouquet, N",2010,75.01,body mass,body size,3,"Petchey et al., 2007 (study 223 in our study)",specific,assess avian FD with regard to resource use,,,
75,"Devictor, V; Mouillot, D; Meynard, C; Jiguet, F; Thuiller, W; Mouquet, N",2010,75.02,annual reproductive output,reproduction,3,"Petchey et al., 2007 (study 223 in our study)",specific,assess avian FD with regard to resource use,,,
75,"Devictor, V; Mouillot, D; Meynard, C; Jiguet, F; Thuiller, W; Mouquet, N",2010,75.03,diet type,resource use,3,"Petchey et al., 2007 (study 223 in our study)",specific,assess avian FD with regard to resource use,,,
75,"Devictor, V; Mouillot, D; Meynard, C; Jiguet, F; Thuiller, W; Mouquet, N",2010,75.04,foraging method,resource use,3,"Petchey et al., 2007 (study 223 in our study)",specific,assess avian FD with regard to resource use,,,
75,"Devictor, V; Mouillot, D; Meynard, C; Jiguet, F; Thuiller, W; Mouquet, N",2010,75.05,foraging substrate,resource use,3,"Petchey et al., 2007 (study 223 in our study)",specific,assess avian FD with regard to resource use,,,
75,"Devictor, V; Mouillot, D; Meynard, C; Jiguet, F; Thuiller, W; Mouquet, N",2010,75.06,diurnal versus nocturnal,temporal partitioning,3,"Petchey et al., 2007 (study 223 in our study)",specific,assess avian FD with regard to resource use,,,
80,"Dickerson, TL; Williams, HN",2014,80.04,organic C content,growth allocation,1,NA,none,NA,,,
80,"Dickerson, TL; Williams, HN",2014,80.05,P content,growth allocation,1,NA,none,NA,,,
80,"Dickerson, TL; Williams, HN",2014,80.06,N content,growth allocation,1,NA,none,NA,,,
80,"Dickerson, TL; Williams, HN",2014,80.07,chlorophyll content,growth allocation,1,NA,none,NA,,,
80,"Dickerson, TL; Williams, HN",2014,80.01,water temperature,habitat,1,NA,none,NA,,,
80,"Dickerson, TL; Williams, HN",2014,80.02,conductivity,habitat,1,NA,none,NA,,,
80,"Dickerson, TL; Williams, HN",2014,80.03,pH,habitat,1,NA,none,NA,,,
81,"Dimitriadis, C; Evagelopoulos, A; Koutsoubas, D",2012,81.07,adult mobility,dispersal,3,"(e.g. Bremner et al., 2003; Dimitriadis and Koutsoubas, 2011; Hewitt et al., 2008; Michaud et al., 2006; Norling et al., 2007; Pacheco et al., 2010; Papageorgiou et al., 2009; Sanders et al., 2007; Tillin et al., 2006).",specific,variables related to nutrients and space resources dyamics,,,
81,"Dimitriadis, C; Evagelopoulos, A; Koutsoubas, D",2012,81.01,living position,habitat,3,"(e.g. Bremner et al., 2003; Dimitriadis and Koutsoubas, 2011; Hewitt et al., 2008; Michaud et al., 2006; Norling et al., 2007; Pacheco et al., 2010; Papageorgiou et al., 2009; Sanders et al., 2007; Tillin et al., 2006).",specific,variables related to nutrients and space resources dyamics,,,
81,"Dimitriadis, C; Evagelopoulos, A; Koutsoubas, D",2012,81.05,habitat modificators,habitat,3,"(e.g. Bremner et al., 2003; Dimitriadis and Koutsoubas, 2011; Hewitt et al., 2008; Michaud et al., 2006; Norling et al., 2007; Pacheco et al., 2010; Papageorgiou et al., 2009; Sanders et al., 2007; Tillin et al., 2006).",specific,variable connected to habitat modification,,,
81,"Dimitriadis, C; Evagelopoulos, A; Koutsoubas, D",2012,81.02,feeding type,resource use,3,"(e.g. Bremner et al., 2003; Dimitriadis and Koutsoubas, 2011; Hewitt et al., 2008; Michaud et al., 2006; Norling et al., 2007; Pacheco et al., 2010; Papageorgiou et al., 2009; Sanders et al., 2007; Tillin et al., 2006).",specific,variables connected to trophic structure,,,
81,"Dimitriadis, C; Evagelopoulos, A; Koutsoubas, D",2012,81.03,feeding apparatus,resource use,3,"(e.g. Bremner et al., 2003; Dimitriadis and Koutsoubas, 2011; Hewitt et al., 2008; Michaud et al., 2006; Norling et al., 2007; Pacheco et al., 2010; Papageorgiou et al., 2009; Sanders et al., 2007; Tillin et al., 2006).",specific,variables connected to trophic structure,,,
81,"Dimitriadis, C; Evagelopoulos, A; Koutsoubas, D",2012,81.04,food type,resource use,3,"(e.g. Bremner et al., 2003; Dimitriadis and Koutsoubas, 2011; Hewitt et al., 2008; Michaud et al., 2006; Norling et al., 2007; Pacheco et al., 2010; Papageorgiou et al., 2009; Sanders et al., 2007; Tillin et al., 2006).",specific,variables connected to trophic structure,,,
81,"Dimitriadis, C; Evagelopoulos, A; Koutsoubas, D",2012,81.06,bioturbation,resource use,3,"(e.g. Bremner et al., 2003; Dimitriadis and Koutsoubas, 2011; Hewitt et al., 2008; Michaud et al., 2006; Norling et al., 2007; Pacheco et al., 2010; Papageorgiou et al., 2009; Sanders et al., 2007; Tillin et al., 2006).",specific,variable related to bioturbination,,,
82,"Ding, ZF; Feeley, KJ; Wang, YP; Pakeman, RJ; Ding, P",2013,82.01,body mass,body size,3,(Petchy et al. 2007; Flynn et al. 2009.),specific,related to the resource and/or energy requirements of indiciduals as wel as the impacts of the species on other trophic levels,,,
82,"Ding, ZF; Feeley, KJ; Wang, YP; Pakeman, RJ; Ding, P",2013,82.04,foraging location,habitat,3,(Petchy et al. 2007; Flynn et al. 2009.),general,commonly measured and commonly used in FD research,,,
82,"Ding, ZF; Feeley, KJ; Wang, YP; Pakeman, RJ; Ding, P",2013,82.02,feeding guild,resource use,3,(Petchy et al. 2007; Flynn et al. 2009.),general,commonly measured and commonly used in FD research,,,
82,"Ding, ZF; Feeley, KJ; Wang, YP; Pakeman, RJ; Ding, P",2013,82.03,foraging behavior,resource use,3,(Petchy et al. 2007; Flynn et al. 2009.),general,commonly measured and commonly used in FD research,,,
84,"Doupe, RG; Lymbery, AJ; Pettit, NE",2006,84.02,functional response CSR,growth allocation,2,DÌ_az & Cabido 2001; Grime 1979,general,To reflect aspects of the plant‰Ûªs response to disturbance,,,
85,"Duru, M; Theau, JP; Cruz, P",2012,85.01,leaf dry matter content,growth allocation,2,"Duru, Ansquer, Jouany, Theau, & Cruz 2010",specific,"Response trait to nutrient resources (Weiher et al. 1999; Wilson, Thompson, & Hodgson 1999). It also responds to defoliation (QuÌ©tier, Lavorel, Thuiller, & Davies 2007; Martin et al. 2009; Cruz et al. 2010) and temperature (Roche, Diaz-Burlinson, & Gachet 2004). Thus we suggest that it may be an integrated and robust indicator that allows a large set of drivers to be filtered.",,,
87,"Edwards, FA; Edwards, DP; Larsen, TH; Hsu, WW; Benedick, S; Chung, A; Khen, CV; Wilcove, DS; Hamer, KC",2014,87.01,body size,body size,3,More than 3,none,potetial volume of dung buried (burial depth),,,
87,"Edwards, FA; Edwards, DP; Larsen, TH; Hsu, WW; Benedick, S; Chung, A; Khen, CV; Wilcove, DS; Hamer, KC",2014,87.02,behavioural guild,resource use,3,More than 3,none,Resource re-location,,,
87,"Edwards, FA; Edwards, DP; Larsen, TH; Hsu, WW; Benedick, S; Chung, A; Khen, CV; Wilcove, DS; Hamer, KC",2014,87.04,diet breadth,resource use,3,More than 3,none,tpe of resources used,,,
87,"Edwards, FA; Edwards, DP; Larsen, TH; Hsu, WW; Benedick, S; Chung, A; Khen, CV; Wilcove, DS; Hamer, KC",2014,87.05,diet preference,resource use,3,More than 3,none,resource use & dietary preference,,,
87,"Edwards, FA; Edwards, DP; Larsen, TH; Hsu, WW; Benedick, S; Chung, A; Khen, CV; Wilcove, DS; Hamer, KC",2014,87.03,diel activity,temporal partitioning,3,More than 3,none,resource opportunity,,,
91,"Ernst, R; Linsenmair, KE; Rodel, MO",2006,91.05,tadpole ecomorphological guild,development,3,NA,general,indicates an area where selection can take place,,,
91,"Ernst, R; Linsenmair, KE; Rodel, MO",2006,91.02,habitat preference,habitat,3,NA,general,indicates an area where selection can take place,,,
91,"Ernst, R; Linsenmair, KE; Rodel, MO",2006,91.04,reproduction mode,reproduction,3,NA,general,indicates an area where selection can take place,,,
91,"Ernst, R; Linsenmair, KE; Rodel, MO",2006,91.01,diel activity,temporal partitioning,3,NA,general,indicates an area where selection can take place,,,
91,"Ernst, R; Linsenmair, KE; Rodel, MO",2006,91.03,reproductive season,temporal partitioning,3,NA,general,indicates an area where selection can take place,,,
96,"Feng, G; Mi, XC; Bocher, PK; Mao, LF; Sandel, B; Cao, M; Ye, WH; Hao, ZQ; Gong, HD; Zhang, YT; Zhao, XH; Jin, GZ; Ma, KP; Svenning, JC",2014,96.01,canopy height,body size,2,Flora of China,general,only broadly available trait for all species,,,
97,"Filippi-Codaccioni, O; Clobert, J; Julliard, R",2009,97.01,habitiat specialization,habitat,1,NA,specific,It is a continuous measure of habitat specialisation,,,
99,"Floch, C; Chevremont, AC; Joanico, K; Capowiez, Y; Criquet, S",2011,99.01,carbon source utilization,resource use,1,NA,general,Are earlier indicators of soil degradation than chemical or physical parameters,,,
102,"Frainer, A; McKie, BG; Malmqvist, B",2014,102.05,biomass,body size,4,Frainer et al. (unpublished data),specific,correlates with the metabolic needs of the individuals (Brown et al. 2004) and therefore with their potential impact on ecosys- tem functioning,,,
102,"Frainer, A; McKie, BG; Malmqvist, B",2014,102.01,habitat preference,habitat,2,"Freshwater Ecology database, www.freshwaterecology.info",specific,"substrate and flow preference reflect microhabi- tat preferences of each species, which are likely to dictate the conditions under which they operate most efficiently",,,
102,"Frainer, A; McKie, BG; Malmqvist, B",2014,102.04,water flow velocity,habitat,2,"Freshwater Ecology database, www.freshwaterecology.info",specific,"substrate and flow preference reflect microhabi- tat preferences of each species, which are likely to dictate the conditions under which they operate most efficiently",,,
102,"Frainer, A; McKie, BG; Malmqvist, B",2014,102.02,feeding potential,resource use,2,"Freshwater Ecology database, www.freshwaterecology.info",specific,"characterizes the breadth of feeding mode for each species (leaf shredding, biofilm grazing, particle gathering and/or predacious), allowing for a comparison between more obligatory and generalist detritivores",,,
102,"Frainer, A; McKie, BG; Malmqvist, B",2014,102.03,emergence period,temporal partitioning,2,"Freshwater Ecology database, www.freshwaterecology.info",specific,relates to differences in phenology among the distinct species and reflects energy require- ments and allocation across seasons (all our detritivores were insects),,,
105,"Gallagher, RV; Hughes, L; Leishman, MR",2013,105.04,dispersal mode,dispersal,"2,3",More than 3 see Appendix 4,specific,is a useful surrogate for the distance a seed can travel in the landscape (Leishman et al. 2000),,,
105,"Gallagher, RV; Hughes, L; Leishman, MR",2013,105.02,leaf area,growth allocation,1,NA,specific,"is important for water balance and energy budgets, as well as light inter- ception and penetration to lower canopy layers (Parkhurst and Loucks 1972)",,,
105,"Gallagher, RV; Hughes, L; Leishman, MR",2013,105.05,growth habit,growth allocation,"2,3",More than 3 see Appendix 4,specific,"Species with woody and herbaceous growth habits differ in their relative growth rates, specific leaf area (leaf dry mass per unit area) and photosynthetic rates (Hunt and Cornelissen 1997), all of which are important for defining how species capture and deploy resources",,,
105,"Gallagher, RV; Hughes, L; Leishman, MR",2013,105.03,climbing mechanism,locomotion,"2,3",More than 3 see Appendix 4,specific,"the type of mechanism employed has been associated with dif- ferences in leaf area, specific leaf mass and leaf nitrogen content (Castellanos et al. 1989). The mechanism used to climb also mediates interactions between climbers and their hosts (DeWalt et al. 2000).",,,
105,"Gallagher, RV; Hughes, L; Leishman, MR",2013,105.01,seed mass,reproduction,2,"Royal Botanic Gardens Kew Seed Information Database, http://data.kew.org/sid",specific,is a central component of the reproduction and establishment strategies of species (Leishman et al. 2000),,,
107,"Gambi, C; Pusceddu, A; Benedetti-Cecchi, L; Danovaro, R",2014,107.01,trophic diversity,resource use,3,"Gambi et al., 2003",specific,morphological features of their buccal apparatus allow the identification of their feeding habits,,,not a valid trait
113,"Griffin, JN; MEndez, V; Johnson, AF; Jenkins, SR; Foggo, A",2009,113.01,specific leaf area,growth allocation,1,Shipley 1995,general,Influences resource acquistion in plants,,,
113,"Griffin, JN; MEndez, V; Johnson, AF; Jenkins, SR; Foggo, A",2009,113.02,leaf dry matter content,growth allocation,1,Garnier and Laurent 1994,general,Influences resource acquistion in plants,,,
113,"Griffin, JN; MEndez, V; Johnson, AF; Jenkins, SR; Foggo, A",2009,113.03,leaf thickness,growth allocation,1,Garnier et al. 2001,general,Influences resource acquistion in plants,,,
113,"Griffin, JN; MEndez, V; Johnson, AF; Jenkins, SR; Foggo, A",2009,113.04,vertical space use,habitat,1,Carpenter 1990,general,Describes location of resorce uptake in habitat space,,,
